source_id	capability_family	citation	url_or_locator	source_type	discipline	population_or_context	culture_axes	independence_family	primary_or_secondary	claim_ids	notes
S011	W4	Chen CH, Li S. The effect of visual feedback types on the wait indicator interface of a mobile application. Displays. 2019. doi:10.1016/j.displa.2019.101928	https://www.sciencedirect.com/science/article/pii/S0141938218300076	3x3 controlled experiment	HCI / time perception	mobile app; 2s/5s/10s waits	device context; feedback convention	CHEN-LI-WAIT	primary	W1-FBK-001	Feedback type and wait duration changed perceived time/evaluation; one feedback type reduced perceived waiting without universally improving experience.
S012	W4	W3C WAI. Understanding Success Criterion 4.1.3: Status Messages. Updated 2026.	https://www.w3.org/WAI/WCAG21/Understanding/status-messages	standard / normative guidance	accessibility	web users incl. assistive technology	accessibility; modality	W3C-STATUS	secondary	W1-FBK-001	Separates success/result, waiting, progress and errors as status information; warns excessive alerts can make interfaces too chatty.
S013	W4	W3C WAI. G199: Providing success feedback when data is submitted successfully.	https://www.w3.org/WAI/WCAG21/Techniques/general/G199	standard technique	accessibility	web form interaction	accessibility; modality	W3C-G199	secondary	W1-FBK-001	Explicit success feedback reduces effort needed to confirm completion; normative/technique evidence, not preference proof.
S014	W5	Sweller J. Cognitive load during problem solving: Effects on learning. Cognitive Science. 1988;12(2):257-285. doi:10.1016/0364-0213(88)90023-7	https://www.sciencedirect.com/science/article/pii/0364021388900237	primary experimental/theoretical paper	cognitive science / learning	problem-solving and learning tasks	expertise; element interactivity	SWELLER-1988	primary	W1-COG-001	Separates intrinsic from manipulable/extraneous load; expertise/schema differences matter. Does not support a generic less-information rule.
S015	W5	Mayer RE, Moreno R. Nine ways to reduce cognitive load in multimedia learning. Educational Psychologist. 2003;38:43-52; summarized in Cambridge Handbook of Multimedia Learning.	https://www.cambridge.org/core/books/cambridge-handbook-of-multimedia-learning/principles-for-reducing-extraneous-processing-in-multimedia-learning-coherence-signaling-redundancy-spatial-contiguity-and-temporal-contiguity-principles/C98AB3A6CE760DD63C048936EA0B3B44	research synthesis / instructional principles	multimedia learning	learners in multimedia instruction	knowledge level; instructional context	MAYER-MORENO-LOAD	secondary	W1-COG-001	Targets extraneous processing and signaling/contiguity rather than raw information count.
S016	W5;W6	Pirolli P, Card SK. Information Foraging. Psychological Review. 1999;106(4):643-675. doi:10.1037/0033-295X.106.4.643	https://www.researchgate.net/publication/229101074_Information_Foraging	theory with empirical lineage	cognitive psychology / information seeking	information seeking behavior	task/environment; expertise	PIROLLI-CARD-1999	secondary	W1-COG-001;W1-NAV-001	People adapt strategies/environment to maximize rate of valuable information gain; supports payoff/scent framing rather than minimum-content dogma.
S017	W5;W6	Scheibehenne B, Greifeneder R, Todd PM. Can There Ever Be Too Many Options? Journal of Consumer Research. 2010;37(3):409-425. doi:10.1086/651235	https://academic.oup.com/jcr/article-abstract/37/3/409/1827647	meta-analysis	judgment and decision making	63 conditions; 50 experiments; N=5036	choice context; task conditions	SCHEIBEHENNE-CHOICE-2010	secondary	W1-COG-001;W1-NAV-001	Mean choice-overload effect virtually zero with substantial heterogeneity; direct counterweight to universal fewer-options prescriptions.
S018	W6	Greifeneder R, Scheibehenne B, Kleber N. Less may be more when choosing is difficult: Choice complexity and too much choice. Acta Psychologica. 2010;133(1):45-50. doi:10.1016/j.actpsy.2009.08.005	https://www.sciencedirect.com/science/article/pii/S000169180900119X	two controlled experiments	judgment and decision making	choice sets varying options and attributes	decision complexity	GREIFENEDER-2010	primary	W1-NAV-001	Choice overload emerged when alternatives differed on many attributes, not few; supports conditional rather than universal one-action logic.
S019	W6	Chernev A, Böckenholt U, Goodman J. Choice overload: A conceptual review and meta-analysis. Journal of Consumer Psychology. 2015;25(2):333-358. doi:10.1016/j.jcps.2014.08.002	https://www.sciencedirect.com/science/article/abs/pii/S1057740814000916	meta-analysis / conceptual review	consumer decision making	99 observations; N=7202	choice complexity; task difficulty; preference uncertainty; decision goal	CHERNEV-2015	secondary	W1-NAV-001	Identifies moderators of when assortment size harms choice; supports explicit exploration/execution boundary.
S020	W7	Lee JD, See KA. Trust in Automation: Designing for Appropriate Reliance. Human Factors. 2004;46(1):50-80. doi:10.1518/hfes.46.1.50_30392	review / conceptual integration	human factors / automation	multiple automation domains	context; automation characteristics	LEE-SEE-2004	secondary	W1-TRU-001	Frames target as appropriate reliance, not maximal trust; trust and reliance depend on context and system characteristics.
S021	W7	Hoff KA, Bashir M. Trust in automation: integrating empirical evidence on factors that influence trust. Human Factors. 2015;57(3):407-434. doi:10.1177/0018720814547570	https://pubmed.ncbi.nlm.nih.gov/25875432/	systematic review	human factors / automation	101 papers; 127 eligible human-subject studies	dispositional; situational; learned trust	HOFF-BASHIR-2015	secondary	W1-TRU-001	Three-layer model of trust variability; undermines treating trust as one interface-produced scalar.
S022	W7	Hunsicker T, Duhl I, Haubert P, Onnasch L, Langer M. Trust the Explanation or my Expectation? International Journal of Human-Computer Studies. 2026;211:103775. doi:10.1016/j.ijhcs.2026.103775	https://www.sciencedirect.com/science/article/pii/S1071581926000509	controlled online experiment	human-AI decision making	218 participants evaluating job applicants	explanation context; accuracy	HUNSICKER-XAI-2026	primary	W1-TRU-001	For inaccurate outputs, explanations increased trusting behavior; direct evidence that more explanation can worsen calibrated reliance.
S023	W7	Customers' acceptance of artificially intelligent service robots: The influence of trust and culture. International Journal of Information Management. 2023.	https://www.sciencedirect.com/science/article/pii/S026840122300004X	cross-national empirical study	human-robot interaction / service	491 US and 495 Chinese respondents	national + individual cultural dimensions	AI-ROBOT-US-CHINA-2023	primary	W1-TRU-001	Culture moderated several trust/intention relationships; useful boundary evidence, not a country-level deterministic rule.
S024	W7	Wang P, Ding H. The rationality of explanation or human capacity? Understanding the impact of explainable AI on human-AI trust and decision performance. Information Processing & Management. 2024;61(4):103732.	https://www.sciencedirect.com/science/article/pii/S030645732400092X	controlled empirical study	human-AI decision making	participants with varying task capacity	expertise/task capacity; explanation quality	WANG-DING-XAI-2024	primary	W1-TRU-001	Explanations affected behavioral reliance/accuracy differently from self-reported trust; supports separating subjective trust from behavior.
S025	W8	Wood C et al. The Impact of Asking Intention or Self-Prediction Questions on Subsequent Behavior: A Meta-Analysis. Personality and Social Psychology Review. 2016. doi:10.1177/1088868315592334	https://pubmed.ncbi.nlm.nih.gov/26162771/	meta-analysis	social psychology / behavior change	116 published tests	behavior domain; desirability; difficulty; sample type	WOOD-QBE-2016	secondary	W1-INS-001	Asking intention/self-prediction questions has a small positive effect on later behavior; measurement can be intervention.
S026	W8	Miles LM, Rodrigues AM, Sniehotta FF, French DP. Asking questions changes health-related behavior: updated systematic review and meta-analysis. Journal of Clinical Epidemiology. 2020;123:59-68. doi:10.1016/j.jclinepi.2020.03.014	https://pubmed.ncbi.nlm.nih.gov/32229251/	systematic review + meta-analysis	behavioral measurement / health	43 studies; n=104388	behavior domain; risk of bias	MILES-QBE-2020	secondary	W1-INS-001	Small but significant QBE with substantial heterogeneity; explicitly treats measurement reactivity as a bias risk.
S027	W8	Development of symptom assessments utilising item response theory and computer-adaptive testing—A practical method based on a systematic review. Critical Reviews in Oncology/Hematology. 2010;73(1):47-67. doi:10.1016/j.critrevonc.2009.03.007	https://www.sciencedirect.com/science/article/pii/S1040842809000572	systematic review / method	psychometrics / adaptive testing	clinical patient-reported outcomes	clinical burden; subgroup parameter equivalence	CAT-SYMPTOM-2010	secondary	W1-INS-001	Adaptive testing selects the most informative next item but requires calibrated item banks and subgroup equivalence; simply shortening can lose individual-level validity.
S028	W8	Measurement precision and user experience with adaptive versus non-adaptive psychometric tests. Personality and Individual Differences. 2024;225:112675.	https://www.sciencedirect.com/science/article/pii/S0191886924001351	randomized online experiment	psychometrics	286 participants	assessment context; test experience	CAT-UX-2024	primary	W1-INS-001	CAT improved measurement precision with minimal UX benefit and signs of greater effort; supports information gain vs burden tradeoff.
